,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1NKkV1xaWararaFPnXjC4BDYQg97R8ZAoW,2018-03-02 14:59:06,511651,2018-03-09 13:10:42,512737,6 days 22:11:36.000000000
1,1JJrdcm4SXz3HWvM7nZtW5UZkTxywAYi5P,2018-03-06 19:57:37,512310,2018-03-09 13:10:42,512737,2 days 17:13:05.000000000
2,1BTTk9V4ymXuvnqH2becT7g8pBd9QkfqCW,2018-03-07 07:37:11,512391,2018-03-22 06:56:04,514634,14 days 23:18:53.000000000
3,164AN2K4kKFoagxjspEKCHyh7BqZnaBjUp,2018-03-08 06:07:23,512534,2018-03-09 13:10:42,512737,1 days 07:03:19.000000000
4,1FSUWQw4xVPcV8qNhDAWGPGrAmLzaDyZ6p,2018-03-09 13:10:42,512737,2018-03-22 06:56:04,514634,12 days 17:45:22.000000000
5,13jMr19n1cNpcq2kzLSjD1UuPoGjXUyM7E,2018-03-12 03:22:45,513116,2018-03-22 06:56:04,514634,10 days 03:33:19.000000000
6,1QJ5MoUPTKF8f7pc5hK59nKtXBpDQaJP2v,2018-03-21 14:00:25,514535,2018-05-07 11:40:40,521612,46 days 21:40:15.000000000
7,192iyNHeYL9v8CK8L9k9cNndv5MNeyR7jY,2018-03-25 12:16:43,515098,2018-04-11 04:33:57,517650,16 days 16:17:14.000000000
8,1PjSSKX7FiZzcY6XjVTbpFK8i4n38t3AWr,2018-03-30 05:53:15,515795,2018-04-11 04:33:57,517650,11 days 22:40:42.000000000
9,1CVWiMDHHuKiv9zQ9GdCQKYYvbY15fm9EQ,2018-03-31 15:45:09,515997,2018-04-11 04:33:57,517650,10 days 12:48:48.000000000
10,1LXYrdX7kHM5oXyLv3gMCnZd9JDRg8wVEm,2018-04-01 15:53:13,516146,2018-04-11 04:33:57,517650,9 days 12:40:44.000000000
11,1MSiRxJaGApoeYwTfQJBJxsZhFx4nkQ4Jm,2018-04-03 09:07:20,516415,2018-04-11 04:33:57,517650,7 days 19:26:37.000000000
12,13bRgHqz1PbYNsB9RmDJA2MJH9UnjgXZBh,2018-04-11 09:16:34,517677,2018-05-10 12:41:01,522069,29 days 03:24:27.000000000
13,1JY97sbBM1EjwBW62k4NLdjwgb3Y2ruwKG,2018-04-11 11:13:33,517687,2018-04-16 18:09:59,518500,5 days 06:56:26.000000000
14,15emLhv9aPfBcxofRKsEKQswvoxZ3bGPR3,2018-04-16 18:09:59,518500,2018-04-24 12:24:19,519725,7 days 18:14:20.000000000
15,195qzG3XYCGW5MNVowqpwgTMAAw2dcp4yV,2018-04-24 12:24:19,519725,2018-04-27 04:37:18,520089,2 days 16:12:59.000000000
16,1J2PYK3p2UVJTPx6wmofRvcjbYL6o6VpjT,2018-05-02 19:22:46,520924,2018-05-25 08:24:24,524298,22 days 13:01:38.000000000
17,19tvftWPjLSGj25tfdHKAyppc6wGDY2esa,2018-05-04 22:13:24,521230,2018-06-26 04:43:56,529276,52 days 06:30:32.000000000
18,1PGtzM3T7Ba9NsMztuhX9XSs2Rj3sTGgZg,2018-05-07 11:40:40,521612,2018-05-22 17:40:47,523885,15 days 06:00:07.000000000
19,1KJUnboedwPvXjRhxnG9L1aGb7LFSacTSj,2018-05-10 12:41:01,522069,2018-05-16 05:57:27,522904,5 days 17:16:26.000000000
20,19wLQ968L78mq1aQZBLJLoY6RhjHXtLH9q,2018-05-24 14:23:08,524165,2018-06-26 04:43:56,529276,32 days 14:20:48.000000000
21,19gdjoWaE8i9XPbWoDbixev99MvvXUSNZL,2018-06-09 13:50:55,526725,2018-06-26 04:43:56,529276,16 days 14:53:01.000000000
22,1FoSfmjZJFqFSsD2cGXuccM9QMMa28Wrn1,2018-06-09 19:31:22,526764,2018-06-26 04:43:56,529276,16 days 09:12:34.000000000